年,月,縣市,合計售電量,縣市用電佔比,住宅部門,服務業部門,農林漁牧,工業部門
2023,3,新北市,1587442521,0.0885,643432541,471143546,1900250,470966184
2023,3,台北市,1128338608,0.0629,393766042,683297743,242354,51032469
2023,3,桃園市,2245499307,0.1251,387375260,317019865,3705887,1537398295
2023,3,台中市,2664777227,0.1485,464583138,422276420,13063896,1764853773
2023,3,台南市,2582748953,0.1439,301379174,225180997,29291686,2026897096
2023,3,高雄市,2455330018,0.1368,451546336,398535813,19165415,1586082454
2023,3,宜蘭縣,283816629,0.0158,73920600,63451614,4416695,142027720
2023,3,新竹縣,932179068,0.0519,101139759,75949658,1523691,753565960
2023,3,苗栗縣,585815527,0.0326,89744895,53310671,2309855,440450106
2023,3,彰化縣,887759851,0.0495,195414141,173687391,32037847,486620472
2023,3,南投縣,212854685,0.0119,66364795,48615576,9015407,88858907
2023,3,雲林縣,448209304,0.025,113921378,65155653,29010093,240122180
2023,3,嘉義縣,263697921,0.0147,77349437,41626655,20424023,124297806
2023,3,屏東縣,388846366,0.0217,128468424,90294323,59386100,110697519
2023,3,台東縣,73706328,0.0041,31170441,29634040,2171602,10730245
2023,3,花蓮縣,189668261,0.0106,50563592,56273999,1763274,81067396
2023,3,基隆市,110890317,0.0062,54530132,37694886,385493,18279806
2023,3,新竹市,753584473,0.042,88091223,89539749,720216,575233285
2023,3,嘉義市,85622974,0.0048,40127979,38584138,519194,6391663
2023,3,澎湖縣,34849309,0.0019,15863034,14840352,306553,3839370
2023,3,金門縣,24735090,0.0014,12299564,9574831,239022,2621673
2023,3,連江縣,6636148,0.0004,2947916,2976558,6403,705271
2023,2,新北市,1560484732,0.0937,702902195,439539215,1558333,416484989
2023,2,台北市,1006588106,0.0604,409379537,555209480,376604,41622485
2023,2,桃園市,2168077952,0.1301,473733827,311826593,3906223,1378611309
2023,2,台中市,2492146350,0.1496,503666034,410816157,12025348,1565638811
2023,2,台南市,2331273586,0.1399,323830492,222113345,32072756,1753256993
2023,2,高雄市,2190028654,0.1315,380527505,379218377,21077540,1409205232
2023,2,宜蘭縣,264314624,0.0159,90082428,50960952,4727364,118543880
2023,2,新竹縣,786580432,0.0472,119778553,80010257,1431716,585359906
2023,2,苗栗縣,540775508,0.0325,84528776,51588891,2226476,402431365
2023,2,彰化縣,834290773,0.0501,201609715,169989132,33232107,429459819
2023,2,南投縣,234557058,0.0141,87314191,51649203,9111911,86481753
2023,2,雲林縣,416027273,0.025,112114489,62622501,33430469,207859814
2023,2,嘉義縣,231577302,0.0139,71367704,38978358,21651784,99579456
2023,2,屏東縣,379895961,0.0228,126336704,89312864,66944119,97302274
2023,2,台東縣,78464353,0.0047,37108221,29235757,2320261,9800114
2023,2,花蓮縣,190057346,0.0114,59210753,53790324,1947099,75109170
2023,2,基隆市,118805406,0.0071,69385726,32943125,331205,16145350
2023,2,新竹市,688829789,0.0413,79905725,82830493,689610,525403961
2023,2,嘉義市,86235222,0.0052,42955953,36471140,656243,6151886
2023,2,澎湖縣,31465285,0.0019,14998071,12402083,346626,3718505
2023,2,金門縣,22109107,0.0013,10946709,8520995,274649,2366754
2023,2,連江縣,6280269,0.0004,2576429,3056428,5821,641591
2023,1,新北市,1587984159,0.0928,657739541,494960485,2245433,433038700
2023,1,台北市,1192488623,0.0697,411331757,728911145,423676,51822045
2023,1,桃園市,2035770640,0.1189,376238971,322489000,3919934,1333122735
2023,1,台中市,2533004995,0.148,475255861,445418937,12533675,1599796522
2023,1,台南市,2402743987,0.1404,308871469,234541295,34292594,1825038629
2023,1,高雄市,2280874257,0.1332,496998014,407904541,21808992,1354162710
2023,1,宜蘭縣,268194997,0.0157,74706471,77425122,4680081,111383323
2023,1,新竹縣,864970145,0.0505,98396839,80741586,1669779,684161941
2023,1,苗栗縣,568919217,0.0332,86504304,55447733,2141095,424826085
2023,1,彰化縣,802506246,0.0469,186798383,180376676,35382760,399948427
2023,1,南投縣,207116705,0.0121,67366465,51540561,8813034,79396645
2023,1,雲林縣,413194517,0.0241,105901006,69519726,32124164,205649621
2023,1,嘉義縣,225303655,0.0132,74200303,43161288,20497383,87444681
2023,1,屏東縣,386534469,0.0226,136137403,93430537,66412902,90553627
2023,1,台東縣,73317814,0.0043,31688263,30360632,2462019,8806900
2023,1,花蓮縣,193299518,0.0113,50206385,57025142,1939258,84128733
2023,1,基隆市,111923206,0.0065,54591132,41850706,385137,15096231
2023,1,新竹市,816083443,0.0477,87006783,85292886,694865,643088909
2023,1,嘉義市,87775510,0.0051,41235829,40090019,508469,5941193
2023,1,澎湖縣,35524329,0.0021,15369513,15716675,373933,4064208
2023,1,金門縣,24192198,0.0014,11559443,9935039,260507,2437209
2023,1,連江縣,6797535,0.0004,2886290,3201567,6392,703286
2022,12,新北市,1546566924,0.0875,573674111,487219613,1687228,483985972
2022,12,台北市,1087545591,0.0615,343386529,696782918,435330,46940814
2022,12,桃園市,2262051237,0.128,359304107,340936163,4187082,1557623885
2022,12,台中市,2665308672,0.1508,438655748,456966404,13742523,1755943997
2022,12,台南市,2532308213,0.1433,293902444,254376338,36956667,1947072764
2022,12,高雄市,2356074897,0.1333,373669159,433521493,22679380,1526204865
2022,12,宜蘭縣,269288357,0.0152,70428669,63409577,5359865,130090246
2022,12,新竹縣,864225301,0.0489,95615797,89767512,1561099,677280893
2022,12,苗栗縣,594197280,0.0336,68672403,56329385,2637072,466558420
2022,12,彰化縣,876466884,0.0496,171964984,187773056,38654720,478074124
2022,12,南投縣,234443301,0.0133,73548636,54636417,9794952,96463296
2022,12,雲林縣,433008105,0.0245,96315381,67807565,33417213,235467946
2022,12,嘉義縣,237846500,0.0135,61830985,44020995,22184621,109809899
2022,12,屏東縣,392055902,0.0222,118909754,98277740,65374632,109493776
2022,12,台東縣,77927436,0.0044,32267594,31838072,2651884,11169886
2022,12,花蓮縣,205646815,0.0116,48878119,58664311,2143781,95960604
2022,12,基隆市,111742430,0.0063,53828072,40272383,676549,16965426
2022,12,新竹市,777502921,0.044,64601293,94957305,746047,617198276
2022,12,嘉義市,87293016,0.0049,37914425,41627071,658211,7093309
2022,12,澎湖縣,32004615,0.0018,12957399,14657528,363651,4026037
2022,12,金門縣,20460289,0.0012,8148749,9329297,283735,2698508
2022,12,連江縣,5485995,0.0003,1787545,3000688,6635,691127
2022,11,新北市,1763064566,0.0922,709913388,552914135,2303644,497933399
2022,11,台北市,1280500810,0.067,447027336,775222779,429596,57821099
2022,11,桃園市,2317945295,0.1212,374646067,361710584,4138638,1577450006
2022,11,台中市,2839175915,0.1485,548445758,502353084,14761818,1773615255
2022,11,台南市,2721174644,0.1423,366977081,274203471,37795484,2042198608
2022,11,高雄市,2641875188,0.1381,597899194,475774334,21793545,1546408115
2022,11,宜蘭縣,291685040,0.0153,77640318,71941822,5661223,136441677
2022,11,新竹縣,905883962,0.0474,103710821,89738713,1962433,710471995
2022,11,苗栗縣,590332342,0.0309,95739508,61739321,2649073,430204440
2022,11,彰化縣,938116630,0.0491,218152159,191268380,39730897,488965194
2022,11,南投縣,234722476,0.0123,70846839,55980379,9556061,98339197
2022,11,雲林縣,479067777,0.0251,127628064,77077312,33983586,240378815
2022,11,嘉義縣,271262896,0.0142,86955291,49709084,23442755,111155766
2022,11,屏東縣,435939289,0.0228,155225673,105070499,62249816,113393301
2022,11,台東縣,82318212,0.0043,35010221,33720897,2513218,11073876
2022,11,花蓮縣,194548501,0.0102,55580548,62813700,2090557,74063696
2022,11,基隆市,123334959,0.0064,56101871,48519570,762757,17950761
2022,11,新竹市,834559364,0.0436,94525373,103257981,770887,636005123
2022,11,嘉義市,103526412,0.0054,48280452,47273255,581666,7391039
2022,11,澎湖縣,40969204,0.0021,17825963,18528091,399977,4215173
2022,11,金門縣,28022537,0.0015,12700114,11401391,316993,3604039
2022,11,連江縣,6350211,0.0003,2630150,3040912,6003,673146
2022,10,新北市,2051407491,0.0983,947039888,588710619,2071837,513585147
2022,10,台北市,1454702132,0.0697,574270630,824666263,462471,55302768
2022,10,桃園市,2636270218,0.1264,573155644,412221590,5112701,1645780283
2022,10,台中市,3070873540,0.1472,683898493,546695772,15910533,1824368742
2022,10,台南市,2833611521,0.1358,447258363,299615459,42781679,2043956020
2022,10,高雄市,2673037455,0.1281,545312749,509413968,23627690,1594683048
2022,10,宜蘭縣,339820753,0.0163,111765932,77480033,7125542,143449246
2022,10,新竹縣,968895748,0.0464,155084622,103159901,2091095,708560130
2022,10,苗栗縣,654946373,0.0314,112270650,65415082,2971284,474289357
2022,10,彰化縣,1045477985,0.0501,271280775,212843333,48876722,512477155
2022,10,南投縣,274951446,0.0132,101723227,63784892,11092667,98350660
2022,10,雲林縣,511178527,0.0245,146396422,79642319,40450873,244688913
2022,10,嘉義縣,285647706,0.0137,92023105,51284473,27008114,115332014
2022,10,屏東縣,459839257,0.022,166193933,111802425,67689868,114153031
2022,10,台東縣,101568249,0.0049,49241160,38570424,2808556,10948109
2022,10,花蓮縣,227098153,0.0109,78349328,68510267,2546116,77692442
2022,10,基隆市,153539594,0.0074,85023931,48164746,880842,19470075
2022,10,新竹市,916572382,0.0439,109568998,110718185,945585,695339614
2022,10,嘉義市,117332118,0.0056,58350986,50358343,750320,7872469
2022,10,澎湖縣,44708470,0.0021,21337022,18528569,442307,4400572
2022,10,金門縣,30323105,0.0015,14364713,11729494,391485,3837413
2022,10,連江縣,7499571,0.0004,2959218,3764578,10250,765525
2022,9,新北市,2388421319,0.1079,1106581205,701472911,3139640,577227563
2022,9,台北市,1716240211,0.0775,697546339,948828222,490202,69375448
2022,9,桃園市,2682618379,0.1212,557580250,450030259,5718766,1669289104
2022,9,台中市,3163044977,0.1429,743144252,607670092,17018561,1795212072
2022,9,台南市,2884128040,0.1303,466789124,315539826,47296071,2054503019
2022,9,高雄市,2842392368,0.1284,757756526,540654020,24804748,1519177074
2022,9,宜蘭縣,352254114,0.0159,117665301,91603779,8211421,134773613
2022,9,新竹縣,982912333,0.0444,153630363,108716181,2766653,717799136
2022,9,苗栗縣,688673878,0.0311,143237885,74585469,3348454,467502070
2022,9,彰化縣,1096589538,0.0495,290140191,218699608,56004612,531745127
2022,9,南投縣,258554973,0.0117,85397573,64415437,10532570,98209393
2022,9,雲林縣,543364069,0.0245,161554613,90469831,45604216,245735409
2022,9,嘉義縣,334913917,0.0151,109269050,57267886,29365110,139011871
2022,9,屏東縣,495566199,0.0224,189484736,118560471,72139968,115381024
2022,9,台東縣,103559609,0.0047,46700902,42843323,3102374,10913010
2022,9,花蓮縣,243195882,0.011,79003681,77566782,2975374,83650045
2022,9,基隆市,159058985,0.0072,83766516,53832038,965459,20494972
2022,9,新竹市,968060724,0.0437,144296850,122555978,1001004,700206892
2022,9,嘉義市,128447309,0.0058,63259239,56027150,733273,8427647
2022,9,澎湖縣,54839152,0.0025,25460568,24062795,549727,4766062
2022,9,金門縣,37098726,0.0017,17564406,14842223,413399,4278698
2022,9,連江縣,9289517,0.0004,3995633,4492998,12359,788527
2022,8,新北市,2200254470,0.1044,949189905,634809208,2200249,614055108
2022,8,台北市,1569334628,0.0745,577847950,931998553,497666,58990459
2022,8,桃園市,2835411403,0.1346,576606811,455623264,5551171,1797630157
2022,8,台中市,3134694159,0.1488,663063369,565036800,17024411,1889569579
2022,8,台南市,3002123682,0.1425,447904025,303333047,43295561,2207591049
2022,8,高雄市,2673933870,0.1269,548385981,518610819,22677506,1584259564
2022,8,宜蘭縣,357061630,0.0169,110953632,85310390,7828295,152969313
2022,8,新竹縣,1045185608,0.0496,153912773,110983314,2467336,777822185
2022,8,苗栗縣,672677289,0.0319,112293008,70262558,3458497,486663226
2022,8,彰化縣,1096477448,0.052,261688040,218498321,52486841,563804246
2022,8,南投縣,278148736,0.0132,97796671,64414782,10785625,105151658
2022,8,雲林縣,527227021,0.025,143250071,80445299,43592944,259938707
2022,8,嘉義縣,324805775,0.0154,90754581,52171900,27265877,154613417
2022,8,屏東縣,467223158,0.0222,168275700,112945470,66855823,119146165
2022,8,台東縣,105006330,0.005,48969999,41826261,2693561,11516509
2022,8,花蓮縣,232337513,0.011,77079630,74412607,2640244,78205032
2022,8,基隆市,157227178,0.0075,83062612,52249838,1120963,20793765
2022,8,新竹市,978517642,0.0464,110061619,119286976,970497,748198550
2022,8,嘉義市,120606114,0.0057,59224701,51854710,726712,8799991
2022,8,澎湖縣,45920416,0.0022,20000193,20489857,480725,4949641
2022,8,金門縣,30077473,0.0014,12929815,12456210,382049,4309399
2022,8,連江縣,8058822,0.0004,2892567,4306730,11555,847970
2022,7,新北市,1967446764,0.0934,791984831,628720099,2590739,544151095
2022,7,台北市,1472647013,0.0699,497087589,911711730,626358,63221336
2022,7,桃園市,2621634319,0.1244,414706619,423172983,4898695,1778856022
2022,7,台中市,3078634731,0.1461,582626690,554571523,15141035,1926295483
2022,7,台南市,2909269340,0.1381,398831682,296345091,41956872,2172135695
2022,7,高雄市,2804596429,0.1331,660141776,519644323,21313664,1603496666
2022,7,宜蘭縣,318202767,0.0151,83955365,82569389,7649593,144028420
2022,7,新竹縣,997164814,0.0473,113022903,100247435,2519244,781375232
2022,7,苗栗縣,670346977,0.0318,106006493,68790720,3126034,492423730
2022,7,彰化縣,1040119730,0.0494,227212069,207216216,48961166,556730279
2022,7,南投縣,248550499,0.0118,72285495,58932509,9556570,107775925
2022,7,雲林縣,527333123,0.025,131255747,83438472,42179680,270459224
2022,7,嘉義縣,328536328,0.0156,90393220,53333715,26138515,158670878
2022,7,屏東縣,467629530,0.0222,169924387,110631967,66507786,120565390
2022,7,台東縣,92818027,0.0044,38744454,39671339,2737039,11665195
2022,7,花蓮縣,222761697,0.0106,59783389,72035039,2386895,88556374
2022,7,基隆市,130630883,0.0062,59526725,49601659,913249,20589250
2022,7,新竹市,973222383,0.0462,106965088,115475391,886863,749895041
2022,7,嘉義市,115517424,0.0055,53555755,52980405,653792,8327472
2022,7,澎湖縣,47643341,0.0023,20048624,22273806,457781,4863130
2022,7,金門縣,29532339,0.0014,12463953,12565897,330991,4171498
2022,7,連江縣,7700813,0.0004,2998523,3865895,10497,825898
2022,6,新北市,1685156518,0.0877,632219252,523026882,1732355,528178029
2022,6,台北市,1209189495,0.0629,376948142,781452425,1212657,49576271
2022,6,桃園市,2467195409,0.1283,396663848,380188999,4343827,1685998735
2022,6,台中市,2822488631,0.1468,479169616,495925111,13844912,1833548992
2022,6,台南市,2794633354,0.1454,327860194,277109977,37095408,2152567775
2022,6,高雄市,2542710526,0.1323,414264590,486968616,19464083,1622013237
2022,6,宜蘭縣,284020301,0.0148,75339122,69328445,6723750,132628984
2022,6,新竹縣,946765989,0.0492,104716930,93989817,1882295,746176947
2022,6,苗栗縣,604138212,0.0314,76303396,61010742,2870539,463953535
2022,6,彰化縣,961132978,0.05,188469942,197197419,43625400,531840217
2022,6,南投縣,249281374,0.013,78172643,58104202,9011977,103992552
2022,6,雲林縣,480365624,0.025,109163205,71744205,37183429,262274785
2022,6,嘉義縣,298068403,0.0155,68514035,58748894,23396739,147408735
2022,6,屏東縣,414264032,0.0215,133485822,103353773,63584209,113840228
2022,6,台東縣,83902663,0.0044,35655288,34923812,2515197,10808366
2022,6,花蓮縣,205244701,0.0107,54579522,62980238,2225658,85459283
2022,6,基隆市,119449149,0.0062,56906808,43597925,11653,18932763
2022,6,新竹市,890076475,0.0463,73614409,103400978,786496,712274592
2022,6,嘉義市,101827609,0.0053,41624362,51495042,594404,8113801
2022,6,澎湖縣,36863123,0.0019,14118526,17922658,403784,4418155
2022,6,金門縣,22867752,0.0012,8932668,9926993,319884,3688207
2022,6,連江縣,6163640,0.0003,2025149,3360411,7745,770335
2022,5,新北市,1555729210,0.0838,548332860,497296601,2128209,507971540
2022,5,台北市,1119329296,0.0603,342630235,725692045,1157519,49849497
2022,5,桃園市,2308988229,0.1244,307529401,334933258,3764169,1662761401
2022,5,台中市,2762931756,0.1488,408168040,461434918,12744958,1880583840
2022,5,台南市,2676598672,0.1442,271989418,254300559,32392283,2117916412
2022,5,高雄市,2609164916,0.1405,444794267,451939443,18584747,1693846459
2022,5,宜蘭縣,268454324,0.0145,60894960,63708307,5654894,138196163
2022,5,新竹縣,898049493,0.0484,81511472,81597860,1823595,733116566
2022,5,苗栗縣,628359129,0.0338,74102973,55165307,2417048,496673801
2022,5,彰化縣,928421449,0.05,168008767,181784542,37931667,540696473
2022,5,南投縣,221105463,0.0119,56891155,51600212,8751990,103862106
2022,5,雲林縣,465834335,0.0251,98846588,70476139,33092356,263419252
2022,5,嘉義縣,330878499,0.0178,66114247,44872517,21162592,198729143
2022,5,屏東縣,393072050,0.0212,123170620,95533103,61077339,113290988
2022,5,台東縣,71088008,0.0038,27350123,30903690,2326977,10507218
2022,5,花蓮縣,206496900,0.0111,43314308,57873134,1976982,103332476
2022,5,基隆市,99910608,0.0054,43265349,39330024,5008,17310227
2022,5,新竹市,869265327,0.0468,73208718,93664336,714575,701677698
2022,5,嘉義市,87359779,0.0047,36262131,42855951,507430,7734267
2022,5,澎湖縣,35877988,0.0019,13671008,17573256,356396,4277328
2022,5,金門縣,23022795,0.0012,9605249,9695227,355621,3366698
2022,5,連江縣,6058133,0.0003,2301710,3009340,7076,740007
2022,4,新北市,1495757924,0.0842,584038871,437069134,1467094,473182825
2022,4,台北市,1039882442,0.0585,340813727,657762441,892359,40413915
2022,4,桃園市,2336492553,0.1315,387949808,315105291,3082743,1630354711
2022,4,台中市,2675712556,0.1506,431839029,419967025,12046805,1811859697
2022,4,台南市,2523175571,0.142,284387803,230158852,28524038,1980104878
2022,4,高雄市,2396139333,0.1349,333025677,409356416,17086921,1636670319
2022,4,宜蘭縣,271094391,0.0153,71993563,57944406,4802645,136353777
2022,4,新竹縣,871346646,0.049,99860904,79113503,1437752,690934487
2022,4,苗栗縣,622871498,0.0351,71880178,50833097,2239516,497918707
2022,4,彰化縣,907551175,0.0511,177663156,173052858,33017680,523817481
2022,4,南投縣,235753799,0.0133,75541781,50352183,7528679,102331156
2022,4,雲林縣,437478752,0.0246,99695395,60822449,27811893,249149015
2022,4,嘉義縣,265777408,0.015,62699155,40335914,17261022,145481317
2022,4,屏東縣,361020860,0.0203,111149485,87072202,55052403,107746770
2022,4,台東縣,73106215,0.0041,31778372,29243594,2112109,9972140
2022,4,花蓮縣,185703135,0.0105,50364036,53649808,1703137,79986154
2022,4,基隆市,109735954,0.0062,56223604,36570643,10597,16931110
2022,4,新竹市,819719596,0.0461,67296754,85680742,680560,666061540
2022,4,嘉義市,82687102,0.0047,37761650,37656205,476383,6792864
2022,4,澎湖縣,31606732,0.0018,13220159,14134978,292160,3959435
2022,4,金門縣,20306023,0.0011,9264260,8249612,292786,2499365
2022,4,連江縣,5606630,0.0003,2141615,2778867,6377,679771
2022,3,新北市,1696024539,0.0897,688222021,496991336,2239524,508571658
2022,3,台北市,1184203555,0.0626,421676141,710780186,966413,50780815
2022,3,桃園市,2452631695,0.1297,404224312,329852693,3331871,1715222819
2022,3,台中市,2841263423,0.1503,493364196,450297806,12555661,1885045760
2022,3,台南市,2536487028,0.1341,318198718,238598428,30617965,1949071917
2022,3,高雄市,2556132112,0.1352,478891685,425163800,20049425,1632027202
2022,3,宜蘭縣,273852471,0.0145,77938507,65943924,5317550,124652490
2022,3,新竹縣,895097183,0.0473,105097616,79787321,1717287,708494959
2022,3,苗栗縣,668234248,0.0353,92653775,56372997,2420045,516787431
2022,3,彰化縣,975778867,0.0516,203388752,177927565,35860282,558602268
2022,3,南投縣,234162627,0.0124,71579054,52494200,8193171,101896202
2022,3,雲林縣,476411743,0.0252,114996713,68981461,32291835,260141734
2022,3,嘉義縣,311332883,0.0165,80362609,44351352,20157650,166461272
2022,3,屏東縣,395825271,0.0209,132092399,91269555,61140625,111322692
2022,3,台東縣,76177143,0.004,32278240,30971894,2511199,10415810
2022,3,花蓮縣,209120440,0.0111,52427251,57827019,2090716,96775454
2022,3,基隆市,116549304,0.0062,58484328,39698839,6668,18359469
2022,3,新竹市,848495848,0.0449,91320767,90748980,695732,665730369
2022,3,嘉義市,91564860,0.0048,43005083,40551348,497354,7511075
2022,3,澎湖縣,36403236,0.0019,16381026,15543791,346594,4131825
2022,3,金門縣,25502720,0.0013,12885519,9771938,282559,2562704
2022,3,連江縣,6742662,0.0004,3178742,2905265,5747,652908
2022,2,新北市,1505816611,0.0912,651832735,427263831,1654171,425065874
2022,2,台北市,1017498641,0.0616,384018580,593192874,807268,39479919
2022,2,桃園市,2117734177,0.1282,433534840,295734399,3431608,1385033330
2022,2,台中市,2463247945,0.1491,468001571,403659939,11234240,1580352195
2022,2,台南市,2262459644,0.137,303781882,214016510,30890360,1713770892
2022,2,高雄市,2192985145,0.1327,359700291,368160630,19440840,1445683384
2022,2,宜蘭縣,261399216,0.0158,82790457,58567197,4874932,115166630
2022,2,新竹縣,799024491,0.0484,108011817,76895501,1488520,612628653
2022,2,苗栗縣,565868137,0.0343,77942266,49730463,2281705,435913703
2022,2,彰化縣,839507959,0.0508,188450943,166276799,35069406,449710811
2022,2,南投縣,226362689,0.0137,82201926,50374831,7754870,86031062
2022,2,雲林縣,410264127,0.0248,103309800,58209092,31261141,217484094
2022,2,嘉義縣,241485057,0.0146,67580750,37793486,20345910,115764911
2022,2,屏東縣,354040358,0.0214,119158703,82910858,64220298,87750499
2022,2,台東縣,74750320,0.0045,35081655,28249865,2494104,8924696
2022,2,花蓮縣,195193135,0.0118,57122979,52098798,1973547,83997811
2022,2,基隆市,113002824,0.0068,62445164,35718594,13304,14825762
2022,2,新竹市,740111858,0.0448,74013529,76397397,693711,589007221
2022,2,嘉義市,82722852,0.005,40559326,35026499,595843,6541184
2022,2,澎湖縣,29675197,0.0018,13377459,12202558,358660,3736520
2022,2,金門縣,20602304,0.0012,10035614,7982314,312738,2271638
2022,2,連江縣,6337807,0.0004,2530899,3161368,6438,639102
2022,1,新北市,1582226447,0.0887,601310915,487102083,2346969,491466480
2022,1,台北市,1111232190,0.0623,376095933,682419561,970128,51746568
2022,1,桃園市,2264049069,0.127,341501074,318521890,3371649,1600654456
2022,1,台中市,2697537185,0.1513,438440377,445652183,12046373,1801398252
2022,1,台南市,2420070823,0.1357,286014043,230691274,31931845,1871433661
2022,1,高雄市,2444834528,0.1371,457046599,411141703,20303255,1556342971
2022,1,宜蘭縣,277150575,0.0155,68506019,64148049,4850539,139645968
2022,1,新竹縣,847308808,0.0475,88729452,78408345,1723660,678447351
2022,1,苗栗縣,628307291,0.0352,80118715,54906997,2277205,491004374
2022,1,彰化縣,923218830,0.0518,177236083,176252311,36262910,533467526
2022,1,南投縣,223612467,0.0125,63825517,51244048,8073734,100469168
2022,1,雲林縣,446796033,0.0251,98828427,66836227,31143273,249988106
2022,1,嘉義縣,240244070,0.0135,69737214,42547799,19406786,108552271
2022,1,屏東縣,384827193,0.0216,126395421,88697749,63160296,106573727
2022,1,台東縣,72401006,0.0041,30253338,29386347,2525900,10235421
2022,1,花蓮縣,201072763,0.0113,47647936,56710109,2042908,94671810
2022,1,基隆市,105027580,0.0059,48801795,38874209,5692,17345884
2022,1,新竹市,812579328,0.0456,78574907,90578610,683014,642742797
2022,1,嘉義市,85584212,0.0048,38395015,39472078,501971,7215148
2022,1,澎湖縣,34304188,0.0019,14316541,15447186,360635,4179826
2022,1,金門縣,22977304,0.0013,10409124,9633747,313238,2621195
2022,1,連江縣,6376938,0.0004,2687760,3010294,5704,673180
2021,12,新北市,1639135191,0.0881,650451773,474218518,1881914,512582986
2021,12,台北市,1133881195,0.061,386895893,698906684,1001153,47077465
